Folder,File,Elapsed time (s),Timestamp,Temperature (K),Temperature error (K),Gamma_B (1/cm^2/s),Gamma_B error (1/cm^2/s),Sputtering yield,Sputtering yield error
echelle_20240815,MechelleSpect_007.csv,1005,8/15/24 9:45,760,35,3.57402E+11,45943962294,2.73E-06,7.68E-07
echelle_20240815,MechelleSpect_010.csv,1576,8/15/24 9:54,760,35,2.30653E+11,32650638361,1.89E-06,5.44E-07
echelle_20240815,MechelleSpect_012.csv,1930,8/15/24 10:00,760,35,2.36689E+11,30116427625,1.94E-06,5.46E-07
echelle_20240815,MechelleSpect_015.csv,2844,8/15/24 10:15,760,35,2.72795E+11,37125327928,2.46E-06,6.99E-07
echelle_20240815,MechelleSpect_016.csv,3223,8/15/24 10:22,760,35,1.69313E+11,21465264149,1.52E-06,4.27E-07
echelle_20240815,MechelleSpect_019.csv,3730,8/15/24 10:30,760,35,1.95042E+11,27259972656,1.69E-06,4.85E-07
echelle_20240815,MechelleSpect_020.csv,4603,8/15/24 10:45,760,35,2.40405E+11,35326414469,2.26E-06,6.55E-07
echelle_20240827,MechelleSpect_016.csv,477,8/27/24 9:19,760,35,4.22518E+11,62413684678,1.98E-06,5.74E-07
echelle_20240827,MechelleSpect_018.csv,708,8/27/24 9:23,760,35,3.04418E+11,50034544836,1.84E-06,5.52E-07
echelle_20240827,MechelleSpect_020.csv,925,8/27/24 9:27,760,35,2.33444E+11,41955272518,1.41E-06,4.36E-07
echelle_20240827,MechelleSpect_022.csv,1410,8/27/24 9:43,760,35,2.41626E+11,45863743450,1.77E-06,5.57E-07
echelle_20240827,MechelleSpect_023.csv,1919,8/27/24 9:52,760,35,1.65364E+11,39993917839,1.21E-06,4.22E-07
echelle_20240827,MechelleSpect_026.csv,2432,8/27/24 9:56,760,35,1.64912E+11,35657628782,1.21E-06,4.00E-07
echelle_20240827,MechelleSpect_027.csv,2707,8/27/24 10:07,760,35,1.22928E+11,37405109844,9.82E-07,3.87E-07
echelle_20240827,MechelleSpect_031.csv,3350,8/27/24 10:20,760,35,1.42605E+11,42239487855,1.21E-06,4.69E-07
echelle_20240827,MechelleSpect_032.csv,4141,10/3/24 9:37,760,35,1.24783E+11,34881734052,6.75E-07,2.53E-07
echelle_20241003,MechelleSpect_006.csv,257,10/3/24 9:42,760,35,6.64342E+11,92443090686,4.40E-06,1.26E-06
echelle_20241003,MechelleSpect_008.csv,456,10/3/24 9:45,760,35,5.25196E+11,73204792100,3.48E-06,9.95E-07
echelle_20241003,MechelleSpect_009.csv,717,10/3/24 9:49,760,35,4.44192E+11,65020141209,2.94E-06,8.52E-07
echelle_20241003,MechelleSpect_012.csv,1080,10/3/24 9:55,760,35,4.59594E+11,80245413248,4.30E-06,1.31E-06
echelle_20241003,MechelleSpect_013.csv,1613,10/3/24 10:04,760,35,4.37413E+11,60295150498,3.52E-06,1.01E-06
echelle_20241003,MechelleSpect_016.csv,1896,10/3/24 10:09,760,35,4.36466E+11,55258897708,3.52E-06,9.86E-07
echelle_20241003,MechelleSpect_017.csv,2626,10/3/24 10:21,760,35,4.31216E+11,57980198912,3.23E-06,9.18E-07
echelle_20241003,MechelleSpect_020.csv,2911,10/3/24 10:26,760,35,3.66257E+11,57907240290,2.75E-06,8.12E-07
echelle_20241003,MechelleSpect_021.csv,3478,10/3/24 10:35,760,35,3.45562E+11,60747761236,2.46E-06,7.52E-07
echelle_20241003,MechelleSpect_024.csv,3770,10/3/24 10:40,760,35,4.15155E+11,1.04431E+11,2.95E-06,1.05E-06
echelle_20241003,MechelleSpect_025.csv,3960,10/3/24 10:43,760,35,3.6495E+11,51167408180,2.60E-06,7.45E-07
echelle_20241031,MechelleSpect_003.csv,31,10/31/24 9:45,986.940304,42.1987,1.7422E+12,1.7714E+11,7.83E-06,2.12E-06
echelle_20241031,MechelleSpect_006.csv,415,10/31/24 9:55,1017.743274,56.66797,1.64147E+12,2.19322E+11,1.13E-05,3.19E-06
echelle_20241031,MechelleSpect_008.csv,628,10/31/24 9:50,1006.023092,36.66619,8.96179E+11,1.47885E+11,4.03E-06,1.21E-06
echelle_20241031,MechelleSpect_011.csv,930,10/31/24 9:25,1015.545298,34.8839,3.79571E+11,2.05116E+11,9.34E-07,5.56E-07
echelle_20241031,MechelleSpect_013.csv,1232,10/31/24 9:32,949.6581919,38.08462,1.51328E+11,51366872865,3.45E-07,1.45E-07
echelle_20241031,MechelleSpect_016.csv,1517,10/31/24 9:35,891.6470168,35.15745,1.43779E+11,48010915983,4.14E-07,1.73E-07
echelle_20241031,MechelleSpect_020.csv,1835,10/31/24 9:40,810.9917587,32.86898,1.11463E+11,48928787003,5.01E-07,2.53E-07
echelle_20241031,MechelleSpect_021.csv,2234,10/31/24 10:02,785.6577213,37.65856,1.28789E+11,54693985091,8.84E-07,4.36E-07
echelle_20241031,MechelleSpect_024.csv,2726,10/31/24 10:10,763.8793746,36.10469,1.35355E+11,46705693264,1.09E-06,4.63E-07
echelle_20241031,MechelleSpect_025.csv,3062,10/31/24 10:16,800.114709,60.05323,1.28543E+11,42785902661,1.03E-06,4.30E-07
echelle_20241031,MechelleSpect_028.csv,4102,10/31/24 10:33,774.1322394,48.86318,1.34764E+11,40991467724,1.23E-06,4.84E-07
echelle_20241031,MechelleSpect_029.csv,4890,10/31/24 10:46,787.3113288,52.8478,1.51525E+11,53071007820,1.48E-06,6.39E-07
